SiteID,Location,Treatment,Condition,BARVULG,CALCANA,CAREX_1,CAREX_2,CAREX_3,EUPPERF,HYDMORS,JUNCUS,LYCAMER,LYTSALI,NAJFLEX,PERLAPA,PHRAUST,PONCORD,POTFOLI,RANUNC,SPIPOLY,TYPHA,Unk9_NF,Unk15_NF,URTDIOI,UTRICUL,VALAMER,Abundance,Richness
BCC01_NF,BigCreek,Control,NF,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,10,2
BCC02_NF,BigCreek,Control,NF,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,5,2
BCC03_NF,BigCreek,Control,NF,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,9,5
BCC04_NF,BigCreek,Control,NF,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,15,2
BCC05_NF,BigCreek,Control,NF,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,10,4
BCC06_NF,BigCreek,Control,NF,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,7,4
BCC07_NF,BigCreek,Control,NF,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,12,4
BCR01_NF,BigCreek,Reference,NF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BCR02_NF,BigCreek,Reference,NF,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,5,2
BCR03_NF,BigCreek,Reference,NF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,6,2
BCR04_NF,BigCreek,Reference,NF,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,6,3
BCR05_NF,BigCreek,Reference,NF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,18,2
BCR06_NF,BigCreek,Reference,NF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,10,0,0,15,3
